"name","playcount"
"Is Tropical","1"
"Islanders","1"
"Isobel Campbell","1"
"Jack Beats","1"
"Jagwar Ma","1"
"James Pants","1"
"Jamie Lidell","1"
"Joey Brooks","1"
"Johannes Schmoelling","1"
"John Legend","1"
"John Pizzarelli;Martin Pizzarelli;Tony Tedesco;Sammy Figueroa;Don Sebesky;Ken Peplowski","1"
"John Tejada","1"
"Johnny Dankworth & His Orchestra","1"
"Jon Hopkins","1"
"Jon Raskin Quartet","1"
"Jonathan Richman","1"
"José James","1"
"Julio Bashmore","1"
"Junior Boys","1"
"Justice","1"
"Kavinsky & Lovefoxxx","1"
"Ke$ha","1"
"Kid Ory","1"
"Kill the Noise","1"
"Kisses","1"
"Koan","1"
"Koop","1"
"Koreless","1"
"Labrinth","1"
"Labyrinth Ear","1"
"Lady Gaga","1"
"Lamb","1"
"Lambchop","1"
"Lata Mangeshkar","1"
"Lawrence","1"
"Lee Curtiss","1"
"Lee Morgan","1"
"Lemon Jelly","1"
"Les Baxter","1"
"Les McCann","1"
"Les Paul & Mary Ford","1"
"Les Sins","1"
"Lester Young","1"
"Little People","1"
"LL Cool J","1"
"Lloyd Price","1"
"Loop","1"
"Loretta Lynn","1"
"LOSD","1"
"Louis Jordan & His Tympany Five","1"
"Louis Prima","1"
"Love","1"
"Lukid","1"
"Lunice","1"
"Luniz featuring Dru Down, Richie Rich","1"
"Madeon","1"
"Marcus Lambkin, James Murphy, Alexis Taylor","1"
"Marilyn Monroe","1"
"Mas Ysa","1"
"Massive Attack","1"
"Mateo Messina","1"
"Matias Aguayo","1"
"Matthew Herbert","1"
"Max Frost","1"
"McCoy Tyner","1"
"Melody Gardot","1"
"Mem1","1"
"Menomena","1"
"Merchandise","1"
"Method Man","1"
"Metro Station","1"
"Michael J Collins","1"
"Miguel","1"
"Mikal Cronin","1"
"MillionYoung","1"
"Mirel Wagner","1"
"MMOTHS","1"
"MØ","1"
"Modeselektor","1"
"Molly Nilsson","1"
"Motion Sickness of Time Travel","1"
"Nadastrom, Gent & Jawns","1"
"Nasa","1"
"Nat King Cole","1"
"Naughty By Nature","1"
"Nels Cline","1"
"New Navy","1"
"Nick Cave & The Bad Seeds","1"
"Nico","1"
"Nils Frahm","1"
"Nite Jewel","1"
"No Age","1"
"No Regular Play","1"
"Norah Jones","1"
"Nordlight","1"
"Nôze","1"
"Nurses","1"
"Nuuro","1"
"Oh Land","1"
"Oliver","1"
"Ombre","1"
"Omniverse","1"
"Ott","1"
"Outer Limitz","1"
"Papercuts","1"
"Pascal","1"
"Passage","1"
"Penguin Prison","1"
"Percy ""Thrills"" Thrillington","1"
"Perry Como","1"
"Pete Shelley","1"
"Peter Davison","1"
"Phaeleh","1"
"Phil Oakey","1"
"Photek","1"
"Pink Skull","1"
"Pond","1"
"Portishead","1"
"Pretty Lights","1"
"Quadron","1"
"Quantic","1"
"Queen","1"
"Radiation City","1"
"Raul Sampaio","1"
"Raw Moans","1"
"Reno Wurzbacher","1"
"Resonance","1"
"Ricardo Tobar","1"
"Ricardo Villalobos","1"
"Rihanna","1"
"Ringo Starr","1"
"Rita Ora","1"
"RJD2","1"
"Robin Trower","1"
"Roosevelt","1"
"Roy Ayers","1"
"Rudimental","1"
"s / s / s","1"
"Sammy Figueroa","1"
"Sandy Mercer","1"
"Santigold","1"
"Sarah Vaughan","1"
"Secret Mountains","1"
"Sect","1"
"Selebrities","1"
"Shabazz Palaces","1"
"Sharon Van Etten","1"
"Show You Suck","1"
"Shy Girls","1"
"Silver Swans","1"
"Simian Mobile Disco","1"
"Sky Ferreira","1"
"Slick Rick","1"
"Slow Hands","1"
"Smith","1"
"Son Lux","1"
"Sonny Clark","1"
"Sonny Rollins","1"
"Spacecraft","1"
"Spiritualized","1"
"Spoon","1"
"St. Lucia","1"
"Stéphane Grappelly Avec Le Quintette Du Hot Club De France","1"
"Stereolab","1"
"Steven Wright","1"
"Stevie Wonder","1"
"Strategy","1"
"Stumbleine","1"
"Summer Heart","1"
"Sun Airway","1"
"Sunset Rubdown","1"
"Surfer Blood","1"
"Suuns","1"
"Swarms","1"
"Sweet","1"
"Taco Leg","1"
"Tanner Ross","1"
"Teams vs. Star Slinger","1"
"Terry Riley","1"
"The Album Leaf","1"
"The Allman Brothers Band","1"
"The Beatles","1"
"The Coasters","1"
"The Criterions","1"
"The Dø","1"
"The Drifters","1"
"The Drums","1"
"The Electric Prunes","1"
"The Good Natured","1"
"The Human League","1"
"The Ink Spots","1"
"The Main Ingredient","1"
"The Mast","1"
"The Nat King Cole Trio","1"
"The Rapture","1"
"The Supremes","1"
"The Velvet Underground","1"
"The Virgins","1"
"Tigerskin","1"
"TOKiMONSTA","1"
"Tom Zé","1"
"Tomas Barfod","1"
"Too $hort","1"
"Tops","1"
"TORRES","1"
"Totally Enormous Extinct Dinosaurs","1"
"Tove Lo","1"
"Trailer Trash Tracys","1"
"Travis Porter","1"
"Travis Porter feat. Tyga","1"
"Trey Songz","1"
"Trophy Wife","1"
"Tru Image","1"
"Tune-Yards","1"
"Ty Segall Band","1"
"UGK","1"
"Vandal Cock","1"
"Via Tania","1"
"Voices Of Black","1"
"Warpaint","1"
"Wayne Shorter","1"
"Wechsel Garland","1"
"White Rainbow","1"
"White Shadow","1"
"Wild Beasts","1"
"Wild Belle","1"
"will.i.am","1"
"Win Win","1"
"Wings","1"
"Wire","1"
"Wolf + Lamb","1"
"Women","1"
"WU LYF","1"
"Wynter Gordon","1"
"XXXChange","1"
"xxxy","1"
"Yelle","1"
"Yim Yames","1"
"Young Prisms","1"
"zev","1"
